,general,expert
55,cost,"{'Big Data,0.57', 'Big Data,0.56', 'Input and Output,0.58', 'Data Structure,0.66', 'Big Data,0.54', 'Data Structure,0.63', 'Big Data,0.55', 'Big Data,0.49', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.5', 'Data Structure,0.65', 'Big Data,0.6', 'Data Structure,0.59', 'Data Structure,0.53', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.62'}"
56,creation,"{'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.67'}"
57,curator,"{'Application Performance Manager,0.44', 'Error Handling,0.39', 'Application Performance Manager,0.51'}"
58,datastax,"{'Error Handling,0.64', 'Data Structure,0.69', 'Data Structure,0.74', 'Data Structure,0.61', 'Application Performance Manager,0.54', 'Software Development and IT Operations,0.64', 'Test,0.73', 'User Interface,0.59', 'Application Performance Manager,0.58', 'Data Structure,0.66', 'Application Performance Manager,0.64', 'Error Handling,0.5', 'User Interface,0.57', 'Application Performance Manager,0.57', 'User Interface,0.48', 'Error Handling,0.49', 'Data Structure,0.62', 'Software Development and IT Operations,0.52', 'Application Performance Manager,0.6', 'Event Handling,0.57', 'Error Handling,0.46', 'Application Performance Manager,0.55', 'Application Performance Manager,0.53', 'Setup,0.47', 'Data Structure,0.64', 'Error Handling,0.62', 'Application Performance Manager,0.46', 'Application Performance Manager,0.52', 'Software Development and IT Operations,0.55', 'Error Handling,0.52', 'Application Performance Manager,0.31', 'Input and Output,0.56', 'Input and Output,0.57', 'Security,0.6', 'User Interface,0.62', 'Application Performance Manager,0.62', 'Software Development and IT Operations,0.56', 'Error Handling,0.65', 'Security,0.56', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Application Performance Manager,0.47', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.62', 'Application Performance Manager,0.56'}"
59,de,"{'User Interface,0.3', 'Software Development and IT Operations,0.36', 'Database,0.42', 'User Interface,0.31', 'Parser,0.36', 'Geographic Information System ,0.43', 'Big Data,0.55', 'Database,0.47', 'User Interface,0.48', 'Database,0.26', 'Software Development and IT Operations,0.57', 'Application Performance Manager,0.5', 'Software Development and IT Operations,0.53', 'Parser,0.4', 'Multi Thread,0.34', 'User Interface,0.54', 'Parser,0.39', 'Software Development and IT Operations,0.47', 'Error Handling,0.48', 'Database,0.67', 'Big Data,0.21', 'Big Data,0.66', 'Data Structure,0.27', 'Parser,0.24', 'Data Structure,0.56', 'Data Structure,0.53', 'Software Development and IT Operations,0.51'}"
60,decoder,"{'Input and Output,0.64', 'Input and Output,0.57', 'Input and Output,0.66', 'Input and Output,0.54', 'Input and Output,0.67', 'Input and Output,0.55', 'Input and Output,0.58', 'Parser,0.54', 'Parser,0.45', 'Input and Output,0.61', 'Parser,0.44', 'Parser,0.58', 'Input and Output,0.56', 'Parser,0.57'}"
61,did not succeed,"{'Software Development and IT Operations,0.6'}"
62,dispatcher,"{'Error Handling,0.53', 'Error Handling,0.58', 'Application Performance Manager,0.63', 'Application Performance Manager,0.6', 'Interpreter,0.5', 'Application Performance Manager,0.5', 'Application Performance Manager,0.61', 'Error Handling,0.52', 'Error Handling,0.48', 'Error Handling,0.43'}"
63,drift,"{'Setup,0.6', 'Software Development and IT Operations,0.66', 'Input and Output,0.49', 'Input and Output,0.51', 'Application Performance Manager,0.58', 'User Interface,0.59', 'Data Structure,0.55', 'Data Structure,0.63', 'Big Data,0.54', 'Application Performance Manager,0.64', 'Parser,0.48', 'Parser,0.46', 'Parser,0.44', 'Data Structure,0.49', 'Big Data,0.44', 'Input and Output,0.39', 'Big Data,0.46', 'User Interface,0.66', 'Application Performance Manager,0.48', 'Data Structure,0.62', 'Error Handling,0.63', 'Software Development and IT Operations,0.63', 'User Interface,0.56', 'Error Handling,0.66', 'User Interface,0.58', 'Input and Output,0.4', 'Software Development and IT Operations,0.53', 'Data Structure,0.57', 'Data Structure,0.64', 'Data Structure,0.6', 'Data Structure,0.48', 'Software Development and IT Operations,0.55', 'Data Structure,0.54', 'Big Data,0.67', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.5', 'Setup,0.56', 'Data Structure,0.5', 'Setup,0.55', 'Geographic Information System ,0.57', 'User Interface,0.62', 'Data Structure,0.39', 'Application,0.55', 'Software Development and IT Operations,0.56', 'Data Structure,0.58', 'Data Structure,0.43', 'Natural Language Processing,0.58', 'Data Structure,0.56', 'Setup,0.59', 'Data Structure,0.59', 'Data Structure,0.53', 'User Interface,0.7', 'Application Performance Manager,0.56'}"
64,druid,"{'Error Handling,0.53', 'Database,0.54', 'Geographic Information System ,0.44', 'Data Structure,0.34', 'Data Structure,0.61', 'User Interface,0.4', 'Data Structure,0.38', 'Data Structure,0.55', 'Setup,0.29', 'Natural Language Processing,0.25', 'Input and Output,0.53', 'Data Structure,0.66', 'Data Structure,0.45', 'Big Data,0.5', 'Big Data,0.54', 'Input and Output,0.63', 'Natural Language Processing,0.39', 'Error Handling,0.5', 'User Interface,0.57', 'Data Structure,0.49', 'Big Data,0.61', 'Data Structure,0.52', 'Language,0.41', 'Error Handling,0.49', 'Data Structure,0.62', 'Setup,0.46', 'Setup,0.32', 'Natural Language Processing,0.3', 'Utility,0.35', 'Utility,0.41', 'User Interface,0.58', 'Natural Language Processing,0.45', 'Data Structure,0.41', 'Error Handling,0.55', 'User Interface,0.54', 'Data Structure,0.4', 'Natural Language Processing,0.38', 'Geographic Information System ,0.4', 'Software Development and IT Operations,0.51', 'Data Structure,0.51', 'Data Structure,0.6', 'Setup,0.31', 'Input and Output,0.62', 'Error Handling,0.52', 'Input and Output,0.31', 'Database,0.45', 'Big Data,0.51', 'Data Structure,0.5', 'Setup,0.37', 'Setup,0.35', 'Data Structure,0.65', 'Data Structure,0.33', 'Natural Language Processing,0.33', 'Error Handling,0.65', 'Geographic Information System ,0.54', 'Data Structure,0.44', 'Input and Output,0.77', 'Data Structure,0.58', 'Data Structure,0.46', 'User Interface,0.46', 'Error Handling,0.35', 'Setup,0.2', 'Database,0.43', 'Parser,0.49', 'Data Structure,0.53', 'Natural Language Processing,0.29', 'Setup,0.4', 'Error Handling,0.56', 'Setup,0.34', 'Data Structure,0.56', 'Setup,0.28', 'Data Structure,0.35'}"
65,easymock,"{'Machine Learning,0.44'}"
66,eclipse,"{'User Interface,0.58', 'Application Performance Manager,0.54', 'Geographic Information System ,0.41', 'Error Handling,0.41', 'Error Handling,0.43', 'Software Development and IT Operations,0.45'}"
67,elasticsearch,"{'Error Handling,0.61', 'Input and Output,0.49', 'Application Performance Manager,0.54', 'Application Performance Manager,0.64', 'Search,0.55', 'Input and Output,0.51', 'Parser,0.36', 'Data Structure,0.55', 'Error Handling,0.57', 'Search,0.44', 'Application Performance Manager,0.58', 'Natural Language Processing,0.51', 'Search,0.56', 'Big Data,0.5', 'Parser,0.54', 'Parser,0.45', 'Parser,0.48', 'Parser,0.46', 'Parser,0.44', 'Parser,0.58', 'Database,0.47', 'Database,0.46', 'User Interface,0.48', 'User Interface,0.57', 'Database,0.57', 'Application Performance Manager,0.57', 'Setup,0.46', 'Search,0.37', 'Search,0.64', 'Database,0.58', 'User Interface,0.53', 'Application Performance Manager,0.5', 'Input and Output,0.52', 'Search,0.83', 'Internationalization,0.25', 'Search,0.84', 'Search,0.49', 'Parser,0.47', 'Database,0.49', 'Search,0.68', 'Application Performance Manager,0.46', 'Search,0.82', 'Natural Language Processing,0.47', 'Database,0.5', 'Internationalization,0.23', 'Data Structure,0.51', 'Database,0.6', 'Parser,0.2', 'Parser,0.41', 'Search,0.67', 'Event Handling,0.49', 'Search,0.63', 'Database,0.62', 'Event Handling,0.5', 'User Interface,0.47', 'Security,0.39', 'Search,0.58', 'Search,0.61', 'Data Structure,0.56', 'Parser,0.49', 'Data Structure,0.53'}"
68,elemental2,"{'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.42'}"
69,errorprone,"{'Input and Output,0.59', 'Test,0.73', 'Input and Output,0.51', 'Multi Thread,0.52', 'Test,0.64', 'Parser,0.45', 'Parser,0.46', 'Error Handling,0.86', 'Parser,0.29', 'Test,0.37', 'Data Structure,0.49', 'Parser,0.5', 'Input and Output,0.47', 'Software Development and IT Operations,0.57', 'Natural Language Processing,0.6', 'Error Handling,0.47', 'User Interface,0.56', 'Parser,0.31', 'Test,0.31', 'Input and Output,0.61', 'Software Development and IT Operations,0.58', 'Geographic Information System ,0.56', 'Software Development and IT Operations,0.55', 'Software Development and IT Operations,0.5', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.54', 'Big Data,0.51', 'Setup,0.48', 'Data Structure,0.39', 'Test,0.43', 'Big Data,0.39', 'Data Structure,0.53', 'Error Handling,0.56'}"
70,esotericsoftware,"{'Big Data,0.35', 'Multi Thread,0.11', 'Input and Output,0.91'}"
71,esri,"{'Multi Thread,0.5', 'Data Structure,0.45', 'Multi Thread,0.52', 'Natural Language Processing,0.39', 'Data Structure,0.49', 'Data Structure,0.42', 'Data Structure,0.52', 'Data Structure,0.47', 'Data Structure,0.4', 'Multi Thread,0.55', 'Data Structure,0.51', 'Software Development and IT Operations,0.59', 'Software Development and IT Operations,0.54', 'Data Structure,0.5', 'Data Structure,0.36', 'Software Development and IT Operations,0.44', 'Software Development and IT Operations,0.49', 'Data Structure,0.33', 'Data Structure,0.39', 'Data Structure,0.44', 'Data Structure,0.37', 'Data Structure,0.46', 'Data Structure,0.58', 'Data Structure,0.53'}"
72,esult,"{'Multi Thread,0.24'}"
73,event,"{'Event Handling,0.73', 'Event Handling,0.83', 'Event Handling,0.79', 'Event Handling,0.82', 'Event Handling,0.78'}"
74,eventlistener,"{'Event Handling,0.7', 'Event Handling,0.68'}"
75,example,"{'User Interface,0.53', 'Input and Output,0.58', 'Data Structure,0.57'}"
76,exceptions,"{'Error Handling,0.53', 'Error Handling,0.64', 'Software Development and IT Operations,0.66', 'Software Development and IT Operations,0.64', 'Error Handling,0.57', 'Error Handling,0.5', 'Error Handling,0.63', 'Data Structure,0.62', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Error Handling,0.47', 'Error Handling,0.66', 'Software Development and IT Operations,0.58', 'Error Handling,0.62', 'Error Handling,0.69', 'Error Handling,0.52', 'Error Handling,0.7', 'Error Handling,0.58', 'Error Handling,0.31', 'Application,0.57', 'Test,0.66', 'Natural Language Processing,0.62', 'Event Handling,0.56', 'Software Development and IT Operations,0.6', 'Software Development and IT Operations,0.62'}"
77,execution,"{'Input and Output,0.58', 'Application Performance Manager,0.7', 'Data Structure,0.71', 'Input and Output,0.68', 'User Interface,0.66', 'Software Development and IT Operations,0.68', 'Software Development and IT Operations,0.48', 'Input and Output,0.73', 'Application Performance Manager,0.53', 'Input and Output,0.52', 'Error Handling,0.55', 'Error Handling,0.8', 'Software Development and IT Operations,0.7', 'Application Performance Manager,0.61', 'Software Development and IT Operations,0.71', 'Software Development and IT Operations,0.54', 'Software Development and IT Operations,0.69', 'User Interface,0.61', 'Input and Output,0.76', 'Error Handling,0.58', 'Software Development and IT Operations,0.72', 'Database,0.63', 'Input and Output,0.7', 'User Interface,0.6', 'Error Handling,0.56', 'Software Development and IT Operations,0.62', 'Test,0.72', 'Error Handling,0.53', 'Error Handling,0.61', 'Software Development and IT Operations,0.66', 'Application Performance Manager,0.63', 'Network,0.72', 'User Interface,0.59', 'Error Handling,0.57', 'Application Performance Manager,0.64', 'User Interface,0.57', 'Data Structure,0.49', 'Error Handling,0.59', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Error Handling,0.47', 'User Interface,0.56', 'Error Handling,0.66', 'User Interface,0.55', 'Input and Output,0.61', 'Error Handling,0.62', 'Input and Output,0.74', 'Data Structure,0.6', 'Input and Output,0.62', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Network,0.73', 'Error Handling,0.75', 'User Interface,0.62', 'Error Handling,0.65', 'Software Development and IT Operations,0.76', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Input and Output,0.65', 'Data Structure,0.68', 'Data Structure,0.56', 'Software Development and IT Operations,0.73', 'Data Structure,0.61', 'Software Development and IT Operations,0.64', 'Event Handling,0.54', 'Error Handling,0.44', 'Software Development and IT Operations,0.77', 'Network,0.67', 'Error Handling,0.5', 'Application Performance Manager,0.75', 'Error Handling,0.67', 'Error Handling,0.63', 'Application Performance Manager,0.67', 'Data Structure,0.62', 'Software Development and IT Operations,0.57', 'Application Performance Manager,0.6', 'Application Performance Manager,0.74', 'Application Performance Manager,0.55', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'Test,0.65', 'Error Handling,0.74', 'Application Performance Manager,0.59', 'Application Performance Manager,0.68', 'Input and Output,0.57', 'Application Performance Manager,0.71', 'Input and Output,0.54', 'Database,0.62', 'Input and Output,0.6', 'Software Development and IT Operations,0.6', 'Application Performance Manager,0.72', 'User Interface,0.7', 'Application Performance Manager,0.56', 'Software Development and IT Operations,0.67', 'Error Handling,0.64', 'Application Performance Manager,0.58', 'Test,0.68', 'Event Handling,0.69', 'Data Structure,0.63', 'Application Performance Manager,0.66', 'Application Performance Manager,0.77', 'Application Performance Manager,0.48', 'Input and Output,0.72', 'Database,0.61', 'Test,0.71', 'Data Structure,0.64', 'Input and Output,0.66', 'Application Performance Manager,0.52', 'Event Handling,0.59', 'Application Performance Manager,0.73', 'Application Performance Manager,0.62', 'Software Development and IT Operations,0.56', 'Data Structure,0.59', 'Test,0.63'}"
78,export,"{'Big Data,0.4'}"
79,expressions,"{'Natural Language Processing,0.57', 'Interpreter,0.7', 'Natural Language Processing,0.56', 'Logic,0.59', 'Natural Language Processing,0.53', 'Natural Language Processing,0.68', 'Natural Language Processing,0.59', 'Language,0.66', 'Language,0.56', 'Input and Output,0.56', 'Language,0.7', 'Language,0.63', 'Input and Output,0.63', 'Natural Language Processing,0.61', 'Interpreter,0.71'}"
80,failureDetector,"{'Test,0.49', 'Input and Output,0.59', 'Error Handling,0.63', 'Big Data,0.41', 'Error Handling,0.29', 'Error Handling,0.35', 'Test,0.52', 'Software Development and IT Operations,0.46', 'Test,0.53', 'Software Development and IT Operations,0.34'}"
81,fasterxml,"{'Big Data,0.57', 'Error Handling,0.51', 'Geographic Information System ,0.44', 'Big Data,0.56', 'Big Data,0.62', 'Parser,0.74', 'Parser,0.62', 'Machine Learning,0.5', 'Parser,0.36', 'Parser,0.42', 'Parser,0.55', 'Big Data,0.5', 'Big Data,0.54', 'Big Data,0.53', 'Parser,0.45', 'Big Data,0.45', 'Database,0.38', 'Big Data,0.55', 'Parser,0.46', 'Parser,0.44', 'Database,0.47', 'Error Handling,0.34', 'Big Data,0.38', 'Parser,0.5', 'Natural Language Processing,0.32', 'Big Data,0.49', 'Big Data,0.44', 'Parser,0.38', 'Multi Thread,0.37', 'Big Data,0.58', 'Natural Language Processing,0.41', 'Setup,0.39', 'User Interface,0.56', 'User Interface,0.53', 'Software Development and IT Operations,0.46', 'Database,0.4', 'Machine Learning,0.47', 'Parser,0.4', 'User Interface,0.39', 'Big Data,0.48', 'Big Data,0.41', 'Data Structure,0.72', 'Multi Thread,0.17', 'Error Handling,0.41', 'Big Data,0.52', 'Big Data,0.51', 'Machine Learning,0.31', 'Big Data,0.42', 'Big Data,0.3', 'User Interface,0.49', 'Application Performance Manager,0.35', 'Error Handling,0.58', 'Geographic Information System ,0.58', 'Database,0.39', 'Application Performance Manager,0.38', 'Software Development and IT Operations,0.56', 'User Interface,0.43', 'Search,0.45', 'Big Data,0.39', 'Big Data,0.36', 'User Interface,0.6', 'Parser,0.35', 'Multi Thread,0.21', 'Parser,0.49', 'Data Structure,0.53', 'Error Handling,0.43', 'Software Development and IT Operations,0.45', 'Cloud,0.13'}"
82,fastparse,"{'Parser,0.6'}"
83,format,"{'Data Structure,0.5'}"
84,formats,"{'Input and Output,0.45'}"
85,functionNamespace,"{'Software Development and IT Operations,0.66', 'Test,0.62', 'Database,0.42', 'Software Development and IT Operations,0.64', 'Error Handling,0.68', 'Error Handling,0.57', 'Parser,0.58', 'Application Performance Manager,0.7', 'Test,0.87', 'User Interface,0.65', 'Test,0.86', 'Error Handling,0.69', 'Software Development and IT Operations,0.7', 'User Interface,0.63', 'Test,0.67', 'Error Handling,0.58', 'Database,0.62', 'Error Handling,0.65', 'Test,0.66', 'Database,0.63', 'Error Handling,0.6', 'User Interface,0.6', 'Error Handling,0.73', 'Database,0.64'}"
86,fusesource,"{'Application Performance Manager,0.36', 'Big Data,0.46', 'Big Data,0.62', 'Software Development and IT Operations,0.48', 'Error Handling,0.6', 'Big Data,0.33', 'User Interface,0.45'}"
87,fxmisc,"{'Big Data,0.61', 'Geographic Information System ,0.6', 'Software Development and IT Operations,0.42', 'Data Structure,0.44', 'Software Development and IT Operations,0.57', 'Software Development and IT Operations,0.56', 'Natural Language Processing,0.42', 'User Interface,0.5', 'User Interface,0.46', 'Network,0.36', 'Software Development and IT Operations,0.55', 'Data Structure,0.35', 'Software Development and IT Operations,0.51'}"
88,geospatial,"{'Geographic Information System ,0.67', 'Geographic Information System ,0.44', 'Data Structure,0.45', 'Data Structure,0.38', 'Geographic Information System ,0.52', 'Data Structure,0.73', 'Geographic Information System ,0.46', 'Database,0.57', 'Data Structure,0.49', 'Data Structure,0.62', 'Database,0.55', 'Data Structure,0.64', 'Big Data,0.47', 'Data Structure,0.57', 'Geographic Information System ,0.62', 'Geographic Information System ,0.48', 'Geographic Information System ,0.45', 'Geographic Information System ,0.51', 'Geographic Information System ,0.6', 'Geographic Information System ,0.49', 'Data Structure,0.36', 'Big Data,0.6', 'Data Structure,0.58', 'Data Structure,0.59', 'Data Structure,0.56', 'Test,0.56', 'Database,0.56'}"
89,github,"{'Input and Output,0.64', 'Parser,0.43', 'Data Structure,0.39', 'Parser,0.42', 'Error Handling,0.45', 'Multi Thread,0.42', 'Setup,0.59', 'Input and Output,0.63', 'Parser,0.37'}"
90,gson,"{'Parser,0.41', 'Parser,0.44', 'Parser,0.61', 'Parser,0.45'}"
91,gui,"{'Input and Output,0.59', 'Application,0.75', 'Input and Output,0.58', 'Setup,0.62', 'Error Handling,0.49', 'User Interface,0.66', 'Software Development and IT Operations,0.68', 'Big Data,0.58', 'Error Handling,0.46', 'User Interface,0.53', 'Input and Output,0.69', 'Input and Output,0.52', 'Application Performance Manager,0.53', 'Setup,0.47', 'Parser,0.47', 'User Interface,0.65', 'Search,0.82', 'Application Performance Manager,0.46', 'Error Handling,0.4', 'Software Development and IT Operations,0.7', 'Database,0.5', 'Software Development and IT Operations,0.54', 'User Interface,0.61', 'Software Development and IT Operations,0.69', 'Error Handling,0.58', 'Application,0.71', 'Big Data,0.6', 'User Interface,0.43', 'User Interface,0.68', 'User Interface,0.46', 'User Interface,0.6', 'Error Handling,0.56', 'Parser,0.56', 'Software Development and IT Operations,0.62', 'Software Development and IT Operations,0.51', 'Error Handling,0.53', 'Software Development and IT Operations,0.66', 'Data Structure,0.77', 'User Interface,0.59', 'Parser,0.42', 'Data Structure,0.55', 'Multi Thread,0.52', 'Application Performance Manager,0.51', 'Error Handling,0.57', 'Parser,0.45', 'User Interface,0.57', 'Database,0.57', 'Parser,0.69', 'Software Development and IT Operations,0.52', 'Software Development and IT Operations,0.61', 'Software Development and IT Operations,0.63', 'Error Handling,0.47', 'User Interface,0.56', 'User Interface,0.55', 'Application Performance Manager,0.5', 'User Interface,0.58', 'Input and Output,0.61', 'Parser,0.57', 'Parser,0.4', 'Search,0.76', 'User Interface,0.63', 'Data Structure,0.6', 'Software Development and IT Operations,0.55', 'Database,0.65', 'Parser,0.59', 'Error Handling,0.52', 'Software Development and IT Operations,0.59', 'Error Handling,0.7', 'Search,0.81', 'User Interface,0.49', 'Parser,0.6', 'User Interface,0.62', 'User Interface,0.67', 'Multi Thread,0.33', 'Error Handling,0.6', 'Software Development and IT Operations,0.65', 'Data Structure,0.56', 'Input and Output,0.49', 'Parser,0.63', 'User Interface,0.41', 'Software Development and IT Operations,0.64', 'Parser,0.55', 'Data Structure,0.66', 'Geographic Information System ,0.5', 'Big Data,0.54', 'User Interface,0.44', 'Parser,0.44', 'User Interface,0.48', 'Error Handling,0.5', 'Application Performance Manager,0.57', 'Parser,0.61', 'Error Handling,0.67', 'Application,0.4', 'Data Structure,0.62', 'Search,0.64', 'Application Performance Manager,0.6', 'Event Handling,0.57', 'Big Data,0.65', 'Software Development and IT Operations,0.57', 'User Interface,0.5', 'User Interface,0.64', 'Software Development and IT Operations,0.58', 'Software Development and IT Operations,0.53', 'User Interface,0.54', 'Input and Output,0.75', 'Data Structure,0.54', 'Application Performance Manager,0.59', 'Parser,0.41', 'Input and Output,0.56', 'Setup,0.58', 'Data Structure,0.7', 'Setup,0.48', 'Database,0.68', 'User Interface,0.7', 'Software Development and IT Operations,0.6', 'Language,0.45', 'Data Structure,0.63', 'Natural Language Processing,0.59', 'User Interface,0.69', 'Search,0.7', 'Big Data,0.49', 'Parser,0.53', 'Setup,0.41', 'Natural Language Processing,0.6', 'Multi Thread,0.51', 'User Interface,0.42', 'Natural Language Processing,0.45', 'Data Structure,0.64', 'User Interface,0.51', 'Software Development and IT Operations,0.47', 'Error Handling,0.48', 'Database,0.67', 'Data Structure,0.5', 'Application Performance Manager,0.78', 'Big Data,0.66', 'Parser,0.67', 'Software Development and IT Operations,0.56', 'Database,0.7', 'Software Development and IT Operations,0.41', 'Data Structure,0.58', 'User Interface,0.52', 'Application,0.73', 'Data Structure,0.59', 'Multi Thread,0.54', 'Search,0.72', 'User Interface,0.45', 'Big Data,0.59'}"
92,gwt,"{'Parser,0.3', 'Test,0.53', 'Test,0.5', 'Data Structure,0.53'}"
93,h2,"{'Error Handling,0.26', 'Search,0.26', 'Big Data,0.58', 'Search,0.28', 'Database,0.35', 'Error Handling,0.55'}"
94,hadoop,"{'Input and Output,0.67', 'Database,0.48', 'Security,0.7', 'Data Structure,0.69', 'Input and Output,0.58', 'Data Structure,0.45', 'Security,0.74', 'Parser,0.36', 'Security,0.68', 'Parser,0.48', 'Parser,0.46', 'Machine Learning,0.46', 'Data Structure,0.42', 'Input and Output,0.68', 'Setup,0.46', 'Setup,0.32', 'Big Data,0.58', 'Multi Thread,0.46', 'User Interface,0.53', 'Input and Output,0.69', 'Setup,0.47', 'Parser,0.37', 'Interpreter,0.3', 'Parser,0.47', 'Data Structure,0.57', 'Big Data,0.47', 'Security,0.78', 'Database,0.51', 'Parser,0.52', 'Big Data,0.41', 'Database,0.5', 'Error Handling,0.41', 'Database,0.45', 'Big Data,0.6', 'Database,0.39', 'Data Structure,0.33', 'Big Data,0.43', 'Setup,0.49', 'Big Data,0.36', 'Big Data,0.4', 'Error Handling,0.56', 'Big Data,0.57', 'Machine Learning,0.41', 'Setup,0.6', 'Software Development and IT Operations,0.66', 'Parser,0.42', 'Error Handling,0.57', 'Setup,0.29', 'Data Structure,0.55', 'Data Structure,0.67', 'Parser,0.45', 'Error Handling,0.34', 'Application,0.44', 'Setup,0.36', 'Data Structure,0.49', 'Parser,0.38', 'Error Handling,0.59', 'Security,0.53', 'Error Handling,0.47', 'Big Data,0.68', 'Setup,0.43', 'Input and Output,0.61', 'Geographic Information System ,0.53', 'Data Structure,0.41', 'Data Structure,0.47', 'Application,0.48', 'Input and Output,0.64', 'Parser,0.4', 'Big Data,0.37', 'Setup,0.45', 'Data Structure,0.4', 'Big Data,0.7', 'Big Data,0.48', 'Data Structure,0.6', 'Database,0.65', 'Parser,0.59', 'Software Development and IT Operations,0.5', 'Big Data,0.51', 'Big Data,0.3', 'Parser,0.22', 'Setup,0.37', 'Machine Learning,0.38', 'Big Data,0.39', 'Error Handling,0.6', 'Multi Thread,0.43', 'Big Data,0.31', 'Input and Output,0.65', 'Parser,0.35', 'Parser,0.51', 'Data Structure,0.53', 'Error Handling,0.43', 'Database,0.54', 'Big Data,0.56', 'Input and Output,0.55', 'Machine Learning,0.42', 'Software Development and IT Operations,0.64', 'User Interface,0.41', 'Error Handling,0.44', 'Security,0.62', 'Data Structure,0.66', 'Big Data,0.54', 'Big Data,0.5', 'Big Data,0.45', 'Parser,0.44', 'Cloud,0.35', 'Parser,0.33', 'Parser,0.5', 'Parser,0.25', 'Big Data,0.46', 'Data Structure,0.62', 'Parser,0.43', 'Security,0.66', 'Software Development and IT Operations,0.58', 'Utility,0.42', 'Cloud,0.34', 'Cloud,0.29', 'Machine Learning,0.37', 'Data Structure,0.48', 'Data Structure,0.54', 'Database,0.34', 'Geographic Information System ,0.45', 'Parser,0.41', 'Setup,0.33', 'Input and Output,0.56', 'Big Data,0.67', 'Setup,0.48', 'Data Structure,0.36', 'Setup,0.35', 'Data Structure,0.44', 'Data Structure,0.37', 'Data Structure,0.46', 'User Interface,0.47', 'Parser,0.49', 'Error Handling,0.42', 'Data Structure,0.34', 'Input and Output,0.5', 'Data Structure,0.63', 'Big Data,0.53', 'Parser,0.34', 'Database,0.36', 'Big Data,0.49', 'Parser,0.53', 'Setup,0.54', 'Data Structure,0.52', 'Setup,0.41', 'Setup,0.52', 'Error Handling,0.33', 'Database,0.4', 'Input and Output,0.43', 'Parser,0.31', 'Setup,0.44', 'Database,0.49', 'Machine Learning,0.47', 'Input and Output,0.66', 'Machine Learning,0.48', 'Parser,0.39', 'Data Structure,0.51', 'Setup,0.31', 'Geographic Information System ,0.69', 'Big Data,0.52', 'Cloud,0.25', 'Data Structure,0.5', 'Big Data,0.42', 'Geographic Information System ,0.51', 'Database,0.52', 'Data Structure,0.43', 'User Interface,0.52', 'Parser,0.24', 'Data Structure,0.59', 'Setup,0.4', 'Security,0.58', 'Big Data,0.64'}"
95,hamcrest,"{'Big Data,0.42', 'Big Data,0.49', 'Geographic Information System ,0.49', 'Data Structure,0.52', 'Software Development and IT Operations,0.43', 'Software Development and IT Operations,0.46', 'Big Data,0.54', 'Event Handling,0.34', 'Machine Learning,0.34', 'Big Data,0.38'}"
96,handlers,"{'Event Handling,0.5'}"
